year_month,大雪山國家森林遊樂區,滿月圓國家森林遊樂區,明池森林遊樂區,合歡山國家森林遊樂區,惠蓀林場,棲蘭森林遊樂區,池南國家森林遊樂區,東眼山國家森林遊樂區,八仙山國家森林遊樂區,奧萬大國家森林遊樂區,知本國家森林遊樂區,內洞國家森林遊樂區,雙流國家森林遊樂區,阿里山國家森林遊樂區,墾丁國家森林遊樂區,溪頭自然教育園區,富源國家森林遊樂區,太平山國家森林遊樂區,萬瑞森林樂園
2015.916667,20177,5011,15575,3206,14721,8340,2542,11173,12717,110187,9078,0,7017,217153,14071,134553,5516,24884,2256
2016,14434,8747,11065,2692,11272,8033,1645,9611,9161,25917,8434,0,4618,204430,11965,75622,4606,30713,219
2016.083333,13535,12776,14002,2304,20732,8410,3542,16811,17263,29202,16089,0,8104,238182,23390,94018,11815,9038,6965
2016.166667,6136,7821,7974,1991,8951,8726,2641,7994,8751,8285,7407,0,5932,329911,10859,83521,3654,12893,3313
2016.25,11733,15561,6751,2738,13944,8619,4359,16174,12098,6865,11347,0,8024,275802,13860,129408,5947,20635,6733
2016.333333,13552,17060,7668,3825,14066,9219,3699,15659,12119,5162,8783,0,7439,200691,13639,147886,4339,20176,2668
2016.416667,18053,15225,10462,2247,15273,12851,2479,18278,11531,5122,5662,0,4642,157891,8708,160346,4814,26444,1981
2016.5,34893,24257,21962,2303,24341,18162,3597,26699,17409,13058,3377,0,7567,184632,19278,210661,5928,39171,2783
2016.583333,25102,18617,22953,3480,17449,14023,2975,19954,13416,8583,0,0,4812,153468,12486,181167,5712,35246,2653
2016.666667,11292,10913,9840,2196,11628,7687,1768,11522,9521,4081,2573,0,1977,82862,3367,135784,3357,13365,7063
2016.75,16583,16746,6093,3180,16386,9622,3408,15203,15917,14889,4953,0,4701,123131,6183,148066,3940,24195,12972
2016.833333,17900,18300,20684,3387,15304,13784,3743,15492,13264,50615,8586,0,5938,137732,15171,129238,5226,33605,6906
2016.916667,21009,18845,20795,3257,13044,12854,2490,15133,14395,94402,10894,0,5819,157055,15273,130313,6663,32255,1675
2017,16860,15082,16947,2701,18487,9834,2229,14470,14242,37197,12969,0,6343,149995,18929,104863,7359,35135,3380
2017.083333,9135,10510,14820,2530,12810,11042,2538,10825,15127,24040,14313,0,6856,158169,17494,89551,4408,36209,3029
2017.166667,6045,9904,8394,2052,10785,7960,2281,8232,9623,8351,8280,0,3747,239610,13111,101814,2919,16737,1618
2017.25,10091,19293,13632,2859,17131,11232,4540,16148,13907,7589,12772,0,5484,188309,16536,118872,4736,28266,3870
2017.333333,11060,19168,12131,3782,15593,11018,3057,16531,12658,5920,9711,0,5213,117732,16144,133609,3598,23112,853
2017.416667,150,9421,10323,2230,6487,10309,1794,10513,5788,162,6252,0,3201,73928,9120,108287,2292,18449,888
2017.5,0,22965,21836,3707,17659,14385,2251,24588,12285,9917,10270,0,6562,126349,13516,197042,3946,41588,2166
2017.583333,16029,25336,24875,3849,20599,15455,2894,30206,14381,9375,10674,0,6416,148866,11960,203649,5147,47558,2604
2017.666667,13112,15687,13185,1346,13037,10668,1230,17584,9975,6108,6564,0,4726,99700,7670,174717,2744,23913,4675
2017.75,17902,18615,11549,3219,17993,10001,1839,18160,13639,14511,8356,0,7285,141936,12997,162805,4459,26541,5238
2017.833333,10614,10912,14628,3404,12287,8990,3288,9306,11980,45757,10900,0,6951,140424,13477,134901,2883,29843,2433
2017.916667,15901,12857,11494,3176,13347,9006,1372,9557,11229,83719,12919,0,7506,145930,14475,139931,4163,30978,3701
2018,5839,8336,6334,2189,7708,5913,1709,8279,7528,18154,8415,0,5868,104508,11270,96615,2276,26401,518
2018.083333,8444,9854,13614,2465,12051,8389,1373,12301,11384,17173,14524,0,7918,126051,16166,69300,3511,44771,1563
2018.166667,6444,14639,10077,2507,7611,7466,2925,13636,8054,6439,11031,0,6172,221494,11983,117298,1870,23459,1222
2018.25,10717,17426,14137,3017,15411,10797,4418,16726,13830,6650,14679,0,10652,178774,15280,149853,4118,35012,3572
2018.333333,17537,20506,13213,4064,15634,8328,2599,19343,11439,4625,8306,0,6546,102682,9340,178079,2258,33296,1207
2018.416667,18891,16180,15781,2965,13849,10650,2122,15530,10850,6259,5223,0,4473,87411,6498,159213,2564,33695,1360
2018.5,22813,22910,26352,3331,17273,14051,2565,24895,12730,8989,9628,0,5694,105558,10056,195008,3095,51986,1903
2018.583333,18746,16608,20601,3338,13350,14071,2296,18276,11620,6542,8604,0,3553,103696,6165,162079,3589,49047,1786
2018.666667,13697,12855,12633,2309,13080,8438,2218,11785,12392,4587,5273,24151,3604,75589,8593,165020,2428,38252,3411
2018.75,16039,15634,13119,3341,15354,9774,2838,14341,12404,15543,8121,39050,8512,108470,10704,156055,2414,54011,2486
2018.833333,11880,13329,17744,3187,11359,9104,2846,10542,8646,36272,11090,28334,6655,103911,10799,142045,2446,50309,1679
2018.916667,18487,12790,20471,2961,16960,10237,3515,10237,11940,61506,19824,23440,8192,126392,19022,132915,4541,55175,2172
2019,7402,8036,9111,2390,10493,6191,1705,6066,8767,13527,14376,14937,6982,99008,14279,98746,2673,31038,1491
2019.083333,12479,14019,16313,2387,19663,13613,2777,12916,13898,16745,15392,23962,7923,135638,17180,101280,5287,46912,2603
2019.166667,8927,14453,12076,2302,12164,9181,1997,11244,9932,8152,10596,20500,6356,215829,12754,123878,3101,36808,1017
2019.25,10269,16395,11671,2921,13843,8551,3619,11681,9345,4581,10289,22618,7748,164040,14653,135712,3648,35019,2710
2019.333333,6602,15891,9596,2890,8537,8568,3227,10975,7286,2305,7686,17594,5522,84378,10385,121009,2495,33153,1010
2019.416667,15543,21377,14244,2654,11999,10154,1306,21735,11790,11713,6222,22334,7734,100453,8477,151264,3074,46025,989
2019.5,20449,26447,19992,3306,14262,17212,3068,27393,13274,7852,10778,29631,5688,122941,9898,202561,2500,62901,2223
2019.583333,10251,19401,13968,2320,7152,10038,2300,19232,7715,3816,7091,20775,4119,87437,7027,139557,2673,44072,1566
2019.666667,15765,18566,12129,3037,16140,9376,1578,16085,12269,6385,7282,18477,8006,66669,9678,195241,2417,39403,3218
2019.75,19722,25506,16054,3489,16455,11839,2291,24788,16863,16970,13208,28501,11508,91963,15195,185369,4156,57711,5163
2019.833333,15516,20101,15504,3030,13920,9946,3705,15625,15627,38017,14993,21845,11184,94387,14264,161793,3679,54864,4699
2019.916667,16293,15570,12416,2805,10082,7256,2344,10533,12516,50734,14137,17881,8475,90533,12427,129593,5208,37881,5700
